requested_scenario_mode,scenario_label,signal_family,recoverable_bed_hours,flagged_cases,share_of_recoverable_hours
balanced,mixed_operational_pressure_detected,weekend_flow_gap,2397.62,119,0.3419
balanced,mixed_operational_pressure_detected,alc_community_capacity,2065.13,185,0.2944
balanced,mixed_operational_pressure_detected,unattributed,859.39,198,0.1225
balanced,mixed_operational_pressure_detected,diagnostics_access,545.0799999999999,90,0.0777
balanced,mixed_operational_pressure_detected,transport_discharge_logistics,495.95,94,0.0707
balanced,mixed_operational_pressure_detected,care_team_assessment,183.23,28,0.0261
balanced,mixed_operational_pressure_detected,nursing_discharge_readiness,160.12,19,0.0228
balanced,mixed_operational_pressure_detected,social_support_readiness,127.81,13,0.0182
balanced,mixed_operational_pressure_detected,vulnerable_patient_flow,71.42,14,0.0102
balanced,mixed_operational_pressure_detected,documentation_readiness,34.57,8,0.0049
balanced,mixed_operational_pressure_detected,unit_flow_capacity,30.37,27,0.0043
balanced,mixed_operational_pressure_detected,front_door_screening,25.8,7,0.0037
balanced,mixed_operational_pressure_detected,pharmacy_discharge_readiness,17.05,9,0.0024
