signal_rank,primary_blocker,facility_id,unit_id,service_line,flagged_cases,recoverable_bed_hours,median_priority_score,mean_confidence,signal_family,actionability_score
1,Friday/weekend discharge gap,FAC_000,acute_medicine,medicine,139,6691.96,79.33,0.88,weekend_flow_gap,3211.86
2,Friday/weekend discharge gap,FAC_000,transitional_care,geriatrics,79,4636.47,91.77,0.88,weekend_flow_gap,2135.55
3,Friday/weekend discharge gap,FAC_000,surgical,surgery,83,4195.62,76.51,0.8800000000000001,weekend_flow_gap,2001.43
4,Friday/weekend discharge gap,FAC_000,respiratory,respiratory,69,4142.39,90.12,0.88,weekend_flow_gap,1902.21
5,Friday/weekend discharge gap,FAC_000,cardiac,cardiology,46,2976.2,99.15,0.8799999999999999,weekend_flow_gap,1358.3
6,Friday/weekend discharge gap,FAC_000,orthopedics,orthopedics,50,2742.89,93.285,0.88,weekend_flow_gap,1299.17
7,home care confirmation wait,FAC_000,acute_medicine,medicine,34,318.82,22.33,0.86,alc_community_capacity,336.65
8,home care confirmation wait,FAC_000,respiratory,respiratory,27,119.14,19.21,0.86,alc_community_capacity,223.98
9,unattributed operational delay,FAC_000,respiratory,respiratory,28,80.09,10.864999999999998,0.45,unattributed,206.85
10,unattributed operational delay,FAC_000,cardiac,cardiology,19,97.61,6.9,0.45,unattributed,157.99
11,unattributed operational delay,FAC_000,acute_medicine,medicine,21,51.34,9.07,0.45000000000000007,unattributed,154.34
12,unattributed operational delay,FAC_000,orthopedics,orthopedics,20,48.71,6.705,0.45,unattributed,146.82
13,home care confirmation wait,FAC_000,orthopedics,orthopedics,16,70.68,15.170000000000002,0.86,alc_community_capacity,140.01
14,transport delay,FAC_000,acute_medicine,medicine,15,62.94,22.21,0.78,transport_discharge_logistics,131.62
15,home care confirmation wait,FAC_000,cardiac,cardiology,13,82.2,22.71,0.86,alc_community_capacity,127.93
16,unattributed operational delay,FAC_000,transitional_care,geriatrics,15,72.33,13.88,0.45,unattributed,126.89
17,home care confirmation wait,FAC_000,surgical,surgery,13,74.67,21.76,0.86,alc_community_capacity,125.05
18,unattributed operational delay,FAC_000,surgical,surgery,18,15.620000000000001,4.140000000000001,0.44999999999999996,unattributed,122.6
19,transport delay,FAC_000,respiratory,respiratory,13,56.58,19.3,0.78,transport_discharge_logistics,116.67
20,home care confirmation wait,FAC_000,transitional_care,geriatrics,11,39.29,18.7,0.8599999999999999,alc_community_capacity,99.91
21,ALC placement wait,FAC_000,respiratory,respiratory,4,125.57,56.165000000000006,0.94,alc_community_capacity,98.91
22,transport delay,FAC_000,surgical,surgery,10,44.949999999999996,24.165,0.78,transport_discharge_logistics,95.81
23,transport delay,FAC_000,cardiac,cardiology,9,31.08,27.54,0.78,transport_discharge_logistics,85.8
24,transport delay,FAC_000,transitional_care,geriatrics,8,46.47,20.515,0.78,transport_discharge_logistics,83.43
25,nurse discharge screening wait,FAC_000,orthopedics,orthopedics,7,46.3,21.86,0.8,nursing_discharge_readiness,78.07
26,transport delay,FAC_000,orthopedics,orthopedics,6,69.54,13.040000000000001,0.7799999999999999,transport_discharge_logistics,77.64
27,therapy assessment stall,FAC_000,orthopedics,orthopedics,6,57.47,24.814999999999998,0.82,care_team_assessment,77.08
28,ALC placement wait,FAC_000,acute_medicine,medicine,6,52.66,20.54,0.94,alc_community_capacity,76.49
29,ALC placement wait,FAC_000,transitional_care,geriatrics,2,76.71,76.92,0.94,alc_community_capacity,75.0
